"","seem","learn","mani","way","week","becom","care","chang","degre","differ","provid","share","appreci","educ","interest","posit","post","state","consid","recent","sinc","thought","month","requir","find","manag","back","good","hospit","privat","exam","health","plan","client","eat","thing","tri","ask","even","rds","career","new","hour","lot","advic","dietet","master","now","question","everyon","recommend","day","school","weight","current","much","program","help","one","pay","realli","experi","love","see","think","use","also","take","clinic","peopl","practic","start","make","food","will","need","look","thank","time","year","patient","job","anyon","feel","dietitian","want","just","get","can","know","like","nutrit","work"
"love",0,0,0.5,0,0,0,0.333333343267441,0,0,0.5,1,0,0,0.5,0,0.5,0,0,0,0.833333373069763,0,1.5,0,0,1,0,0.333333343267441,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.5,0,0,0,0.333333343267441,2.33333349227905,0,0,0.333333343267441,0.666666686534882,1.33333337306976,1.33333337306976,0.833333373069763,0.333333343267441,0,0.333333343267441,0.833333373069763,0.5,1,1.83333337306976,0,0,0.333333343267441,0,1,1.5,0.333333343267441,0,0.833333373069763,2.5,0,0.333333343267441,2,0.333333343267441,0,0.5,0,4,0,4.83333349227905,2
"see",0,0,1,0,1.5,0,0,0,0.333333343267441,0,0,0,0,0,0,1.33333337306976,1.5,0,0,0,0.666666686534882,0.5,0,0.333333343267441,0.333333343267441,0,0,0,0,0,0,0,0,1.5,0,0,0,0.333333343267441,0,0,0.5,0,0,3,0,0.333333343267441,0,0.333333343267441,0.5,1,0,1,0.333333343267441,0.333333343267441,0,2,0,1,0.333333343267441,0.333333343267441,0.333333343267441,0.333333343267441,1,0.5,0.5,0,0,0.333333343267441,0.333333343267441,1.5,0.5,1,0,0,0,1,2,0,1.16666674613953,0,4,1,4,0.333333343267441,0.833333373069763,0.333333343267441,0.333333343267441,0.333333343267441,0,1.33333337306976,0.333333343267441,0,3.5
"think",0,0,0.333333343267441,1,0,0,0,0,0,0.333333343267441,1.5,0,0,0,0.833333373069763,0,0,0,0,0,0.833333373069763,0,0,0,1,0,0,1,0,0,0,0.5,0,1.5,1,0,1.33333337306976,2,0,0,1,0.5,0,0.333333343267441,0,0,0,0,0,0,0,0.333333343267441,1,0,0.333333343267441,1,0,1.83333337306976,0,1,0,0.5,0,1,0,0,0.5,2,0,1.33333337306976,0.5,0.5,2.33333349227905,0,0,1,1,0.5,0.333333343267441,1,0.5,0.333333343267441,0.5,1,0,0,1,0.666666686534882,2.33333349227905,1,0,1.66666674613953,0
"use",0.5,0,0,1.5,0,0,0,0,0,1.83333337306976,0,0,0,0,0,0,0,0,0,0,0,0,0.333333343267441,0.5,0,0,0,1,0.333333343267441,0,0,0,0,0.333333343267441,0,1,0,0,0,0,0,2,1,0,1.33333337306976,1,0,0,0,0,0,0,0,0.333333343267441,0,0,0,1.5,1.83333337306976,0,0,0,0.5,0.5,0,1.66666674613953,0,0,0,0.5,0.833333373069763,0,0,0.5,0,0,0,0,0,0.333333343267441,1.5,0,0,1,0,0.5,0.833333373069763,1.5,0,1.33333337306976,1,0.333333343267441,0
"also",0,0.5,1,0,0,0,0,0,0.5,0.333333343267441,0.5,0,0.333333343267441,1,2,0,1.33333337306976,1,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0.333333343267441,2,0.5,0,0,0,1.33333337306976,0,0,0.333333343267441,0,0.333333343267441,0,0,0.333333343267441,1,0,0,0,0,0,0.333333343267441,0,1,0.5,0,0,0,0,0,0,1,2,2,0.333333343267441,0,0.833333373069763,0.5,0.5,0,1,1.5,0.333333343267441,0.5,1.33333337306976,0,0,0,0,0,0.5,1,0,0.5,3.5,0,0,0.333333343267441,1.16666674613953,1.83333337306976,0.333333343267441,0.833333373069763
"take",0,0,0,0,0,1,2,0,0.333333343267441,0,0.333333343267441,0.5,0,0,0,0.333333343267441,0,0,0,0,0,0.5,0,1,0,0,0.333333343267441,0,0,0,6.5,0,0,1,0,0,0,0,0,0,0.333333343267441,0,0.333333343267441,1.33333337306976,0,0.5,0,0.5,0,0,0.333333343267441,0.5,1.33333337306976,0,0,0.5,1.33333337306976,0,1,1.5,0.333333343267441,1.33333337306976,0.666666686534882,0,0.333333343267441,0,0.5,0.5,0,0.333333343267441,0,1,1.5,0,0,0,0.333333343267441,0.666666686534882,3.33333325386047,0.5,0,1,0,0,0,0.5,0.333333343267441,0,0.5,0.5,0,0.5,0
"clinic",1,0,0.5,0,0,0,0.333333343267441,0,0,0,0,0.333333343267441,0,0,0,0.5,0.5,0,0,0,1,0,0.333333343267441,0,0,1,0.333333343267441,0,1,0.833333373069763,0,0,0.5,0,0,0,0.333333343267441,1,0,2,0,0.5,2,0,0,0,0,0.5,2,0,0,2,0,0,0,0.333333343267441,0.333333343267441,0,0,0,0,3,1,0,0,0,0,0,0.333333343267441,0.5,1.33333337306976,0.333333343267441,0.5,1,0.833333373069763,0,1,0,1.83333337306976,2.16666674613953,0,2.5,0.833333373069763,0.5,7.5,0,1,0.333333343267441,0,0,0.333333343267441,2,2.5
"peopl",0.5,1,0.333333343267441,1,0,0.833333373069763,0.333333343267441,0,0,0,0,0.333333343267441,0,0,0,0,0.833333373069763,0,0,0,0,0,0,0,0.333333343267441,0.5,0,0,0,0,0,0.5,0.5,0,1.5,0.333333343267441,0,2.33333349227905,0,0,0.833333373069763,0,0.833333373069763,0,0.5,0,0,0,0.333333343267441,0,0,1.83333337306976,0.5,0,1.5,0.5,0,0,0,0,0.5,0.333333343267441,0.5,0,0,1,0.666666686534882,1,0.333333343267441,0,0,0,1.66666674613953,0,2.33333349227905,2,1.33333337306976,0.333333343267441,0,1,0,0.666666686534882,0,2.83333325386047,0.666666686534882,2.5,1,3.33333325386047,2.83333349227905,2,3.83333349227905,0.5,0.5
"practic",0.5,0,0.5,0,0,0,0,0,0,1,0,0.333333343267441,0,0.5,0.5,0,0,0.833333373069763,1.33333337306976,0,0,2,1,0.5,0,0,0,0,0,1,2.5,0,0,0.833333373069763,0,0,0.5,0,0,0,0.333333343267441,0,3,0.333333343267441,0.5,0,0,0.333333343267441,0,0,1,0.833333373069763,0,0,1,0,0,0.5,1,0,0,1,0,1.83333337306976,2,0,0,0.833333373069763,0,0,1.66666674613953,0,1.66666674613953,0,1,1,0.833333373069763,0,1,1.5,0.333333343267441,0.5,0.333333343267441,1.66666674613953,1.33333337306976,0,0,0.333333343267441,1,2.5,1.33333337306976,0.5,4.33333349227905
"start",0,0,0,0,0.5,0,0.833333373069763,0,0.5,0,0,0,0,1,0,0.5,1,0,0.5,0,0,1,0,0,0,0,0,0,1,2,0,0.333333343267441,0,0.333333343267441,0,0,0,0,0,0.666666686534882,2.5,0.333333343267441,0,0,0,0,1.5,1,0,0,0,0.333333343267441,2,0,0,0,0.333333343267441,0,0.333333343267441,1,0.5,0,0,1.33333337306976,0,0,0.833333373069763,0,2.33333349227905,0.5,1,0,0,1,0.333333343267441,0,2,0.5,0.5,0,1,1.33333337306976,0.833333373069763,2,1.83333337306976,0.666666686534882,0,0,0,1.33333337306976,1,2,5.33333349227905
"make",1.33333337306976,0,0.5,0,0,0,0,0.333333343267441,0,4.5,1,0,0.5,1,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0,0.333333343267441,0,0,0,1,0,2.83333349227905,0.5,0.5,0.333333343267441,0,0,0,0,0.5,0,0.833333373069763,0,1,0,0,1,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0.333333343267441,0,0,0.5,0,0,0.333333343267441,0.333333343267441,0,0.5,0.833333373069763,0,0,2,1.33333337306976,0,0.333333343267441,0,0.333333343267441,1.16666674613953,2.33333349227905,0.333333343267441,0.5,0.833333373069763,0,0,0,0,0,0,0,1.5,1,2
"food",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0,0,0,0,0.333333343267441,0,0.333333343267441,0.5,0,0.5,0,0,0,0.333333343267441,0,0,2.83333349227905,0,0,0,0.5,0,0,0,0.5,1.33333337306976,0,0,0.5,0,0.333333343267441,0,0.333333343267441,0,0,0,0,0,0.833333373069763,0.666666686534882,0.5,0,0.5,0,1.5,0.5,0,0,0,0,0.5,0,0,0,1,3.33333325386047,0,0,0,0,0,0,0,0,0,0,0.666666686534882,2,0.5,0,2.33333325386047,0,0.5,4.83333301544189,0.5
"will",0,1,0,0,0,0.5,0,0.5,0,0.833333373069763,0.333333343267441,5,0,0,0,0,0,0,0.5,0,0,0,0,1,2,0,0.333333343267441,0,0,0,0.5,0,0.5,0,0,0,0,1,0.666666686534882,0,0.333333343267441,0,0,0,0,0.666666686534882,1,0,0.333333343267441,0,0,0,1,1,0,0.333333343267441,0,2,0,2.33333325386047,0,0,0,0.5,0,1,2.83333325386047,3.5,0.333333343267441,2,0.333333343267441,1,3,0,0.333333343267441,0.333333343267441,0,1,0,0.666666686534882,0.333333343267441,0.5,0.5,1.33333337306976,0.333333343267441,0,0.333333343267441,6,0,0.333333343267441,1.5,1.33333337306976,2.5
"need",0,0,0,0.333333343267441,0,0,0,1,0.833333373069763,0,0,0,0,0,0,0,0,1.5,0.5,0.333333343267441,0.666666686534882,0,0,0,0.333333343267441,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.33333337306976,0.333333343267441,0,0.5,1,1,1,4,0,1.5,0,0,0,1,0.5,0.5,0.333333343267441,0,1,0,3,0,0,1,0,0.5,0,0,0,1.33333337306976,2,0,0,1,2,0.333333343267441,0,0,0,1.33333337306976,1.16666674613953,0.833333373069763,0.333333343267441,0,0.333333343267441,0.333333343267441,1,0,1,0,1.5,2.5,2,1.33333337306976,0.5,1.33333337306976
"look",0.666666686534882,0.333333343267441,0,0,0,0,0,0,0.333333343267441,0.5,0.5,1,0,1,0,0,0,1,0,0.333333343267441,0,1,0.333333343267441,0,1.66666674613953,0,0,0,0,0,0.333333343267441,0,0,0.5,0,0,1.5,0,0.333333343267441,0,1.5,0.5,0,0.333333343267441,4,0,0.5,1.33333337306976,0,0.5,0,0,0,1,0.5,1,1,0,0,1,0,0.333333343267441,0.333333343267441,2,0,0,0.333333343267441,2,0.5,0.833333373069763,1.66666674613953,1,0.833333373069763,0,0,1,1.5,0,1.33333337306976,1,0,5,0,2.5,0.333333343267441,0,0.5,2,0.333333343267441,0.666666686534882,9.5,2.33333325386047,2
"thank",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333373069763,1,0,0,0,0.5,0,0,0,0,0,0,0,0.333333343267441,0
"time",0.333333343267441,0,0,0,1,0.666666686534882,0,0.333333343267441,0,0,0,1,0,0,0,1,1,0,0,0,1.5,1,0.5,0,2,0,0.333333343267441,0,0,0.5,0.5,0.5,1.5,1.33333337306976,0,0.5,0,0.833333373069763,0,0,0,1,0,0,1,0,0.666666686534882,0,2.5,0,0.5,1,0.5,0,0,0.666666686534882,0,0.833333373069763,0,1.33333337306976,0.333333343267441,0.833333373069763,0,1.33333337306976,0.333333343267441,0,2.33333325386047,1.5,0.5,0,0.333333343267441,2,0.5,0,0,0,0.5,0.5,1.5,1.33333337306976,0,2.83333325386047,0.833333373069763,2.66666674613953,0,2,2,4,0.666666686534882,1.33333337306976,2,0,2.66666674613953
"year",0.5,0.333333343267441,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.333333343267441,0,0,0,0.333333343267441,1,1.33333337306976,0,1.33333337306976,0,0,0.5,0,1,0,1.66666674613953,0,0,1.5,0.333333343267441,0,0,0,0,0,0,0,0,0,1.16666674613953,0.833333373069763,0.333333343267441,1.33333337306976,1,0,0,0,0,2.33333349227905,0,1,0,1.66666674613953,0,0,0,1,4.33333349227905,0,1,0.333333343267441,0.5,1,0.333333343267441,3.16666674613953,1.5,2,1,0,0.333333343267441,1,1,1.33333337306976,0,0,1,0,1.16666674613953,1,0.833333373069763,1.66666674613953,2,1.33333337306976,0.833333373069763,1.33333337306976,0,2,0.333333343267441,6.33333349227905
"patient",0,1,0,0,1,0,5,0.333333343267441,0,0.5,0.833333373069763,0,0.5,1,0,0,0.5,0,0,0,0,0,0.5,0,0.333333343267441,0,0,0,1,0.5,0,0,0.333333343267441,1,0,0,0,1,0,0,0,0,0,0,1.16666674613953,0,0,0,0,0,1,0,0,2,1,0.333333343267441,0,0,0.333333343267441,0,0.5,0,2,0.833333373069763,0,1.66666674613953,0.833333373069763,1,0.5,0,0.333333343267441,1.33333337306976,0,0.833333373069763,0,2.33333349227905,0.5,1,1,0,1,0,0,1,0.333333343267441,1.33333337306976,0.666666686534882,1,1.5,2.5,2,4.16666650772095,1.5
"job",0,0,0,0,0.333333343267441,0,0.333333343267441,0.333333343267441,0,1,0,0,0,0,0,1.83333337306976,2,0,1,0.333333343267441,2,0.333333343267441,0.833333373069763,1.33333337306976,1,0,1.5,0,1.5,0,0,0.5,0,0,0,0.333333343267441,0,0.5,0.333333343267441,0.333333343267441,0.5,1,0,0.5,0.333333343267441,0.5,0,1.33333337306976,0,0,0,0,0,0.333333343267441,0.5,0.833333373069763,0,0,0,2.5,0,0.333333343267441,0.5,0,0.333333343267441,0,1,0.333333343267441,0.833333373069763,0,0.333333343267441,0.333333343267441,0.833333373069763,0,3,0,1,0,0.333333343267441,2.66666650772095,0,1.50000011920929,1.83333337306976,2.83333349227905,0.5,0.5,2.33333349227905,0.5,1.66666674613953,1.83333337306976,0.333333343267441,1,6.33333349227905
"anyon",0,0,0,0.666666686534882,1,0,0,0,0.5,0,0.333333343267441,3.33333325386047,0,0.333333343267441,0,0,0,0,0.5,0,0,0.333333343267441,0,0,0,0.833333373069763,1.5,1.83333337306976,0,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0,0,0.5,0,3,1,0,0.5,0,0,5,0,0.5,0.5,0,0.333333343267441,0.333333343267441,0.333333343267441,0.333333343267441,0.5,0,8,1.83333349227905,0,0,5.5,0,1,0,0,1.33333337306976,0,0.5,0.5,2,0,0.333333343267441,1.50000011920929,0.333333343267441,0.333333343267441,1,2,1.16666674613953,0.5,0.5,1.66666674613953,0.5,1.83333337306976,5.33333349227905,11,0,0.666666686534882,10
"feel",0,0,0,1,0,0,0,0,0.5,2,0.333333343267441,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.833333373069763,0,0,0,0,0.666666686534882,0.666666686534882,0,0,0.833333373069763,0.333333343267441,0,0.333333343267441,0,0.5,0,0.333333343267441,0,0.666666686534882,0,0,0.833333373069763,1,1.16666674613953,0.5,0,0,0,0.5,1,0,1,0,0.333333343267441,0,0.333333343267441,2.83333325386047,0.833333373069763,0.333333343267441,0.666666686534882,0,0,0.833333373069763,0,0,0.666666686534882,0.333333343267441,0.666666686534882,0,0,1,2,0.666666686534882,0,1.33333337306976,0,0.333333343267441,0.333333343267441,0,1,0.333333343267441,0.666666686534882,2.66666674613953,4.66666698455811,0.333333343267441,1,36.6666641235352,0.333333343267441,1.83333337306976
"dietitian",0,0,0,0,0.5,0.333333343267441,0.666666686534882,0,0,0,0.333333343267441,0.333333343267441,0.666666686534882,0.333333343267441,1.33333337306976,1,0.5,0.5,1,1.33333337306976,2,0,1,0,0,1,0,1,1.33333337306976,1.5,0.5,0,0,0.333333343267441,0,0.5,0,0,0.5,0,0.5,0.333333343267441,0,1,0,1.33333337306976,0,1.33333337306976,0.333333343267441,0,0,0.333333343267441,1,0.333333343267441,3.33333349227905,0.5,1,0.5,0.333333343267441,0,1,1,1.33333337306976,0.666666686534882,1,0,1.33333337306976,0,0,0,0.833333373069763,0.333333343267441,1,1.5,1,0,2.16666674613953,0,2,6.3333330154419,0.833333373069763,1.5,1,1.5,1,2.33333349227905,1.5,0.5,0.5,1.33333337306976,1,1.5,3.83333325386047
"want",0.333333343267441,2.5,0,0.333333343267441,0,2.16666674613953,0,0,0.833333373069763,1,0.5,2.5,0,1,0.333333343267441,0,0,1,0,0,1.83333337306976,0.833333373069763,0.5,0,0,0.333333343267441,0,0,0,1,0.333333343267441,0,0.333333343267441,0,1.33333337306976,0,2,0,1.33333337306976,0,0,0,1.5,0,0,0,0.5,1,0.333333343267441,0,0,0.333333343267441,0.333333343267441,2.16666674613953,1.50000011920929,0.333333343267441,0.333333343267441,2,0,0,0,0,0.5,5,0,2.33333349227905,0.5,1,1.5,1.83333337306976,0.833333373069763,6.5,2.83333325386047,1,0,0,1.33333337306976,0.333333343267441,1,0.5,0.333333343267441,0.5,2.33333349227905,0.666666686534882,2.5,1,0.666666686534882,2,1.16666674613953,4.5,0,2,5.5
"just",2.33333349227905,0,1,0.833333373069763,0,0,0,0,0,1.33333337306976,0,0.5,1,0,0.5,0.333333343267441,0.5,0,0,1,0,0,0,0,1,0,0.333333343267441,0,0,0,0,0,0,0,1,1,1,0,0.5,1,0.5,1,0,0.5,2.16666674613953,0.5,0,0.333333343267441,0,0,1,0.333333343267441,0,0,0,0,0.333333343267441,0.333333343267441,1.66666674613953,0,0.5,0,0,1,0.333333343267441,0,0.666666686534882,0.666666686534882,0.833333373069763,0,0,4,1.33333337306976,0,0.5,3.33333349227905,5.33333301544189,0.333333343267441,0,0.5,0.5,1.50000011920929,2.83333325386047,5.8333330154419,0,5,1.66666674613953,2,3,4.83333349227905,3,0.833333373069763,0.5
"get",0.333333343267441,0,0,0,0.666666686534882,0.333333343267441,0,0,2,0.5,0,0,0.333333343267441,0.5,1,0.5,0,1.5,1.33333337306976,0,1,0,0.5,0,0,0,3,1,0,1,0,0,0.5,1,0.5,0.333333343267441,0,0.333333343267441,0.833333373069763,1.5,0,0,1.5,1.33333337306976,2,0.333333343267441,7.83333349227905,0.333333343267441,1,0,1,0.5,1,0.5,2,1.5,0.833333373069763,0.333333343267441,0.5,1,0,2.5,0.5,1.5,1,0.666666686534882,0,0,0.333333343267441,0.333333343267441,1,3.5,0.5,0,1.33333337306976,0.333333343267441,0,0,1,1.33333337306976,0,1,0.333333343267441,1.66666674613953,0,1,0.333333343267441,0.666666686534882,0.333333343267441,1.50000011920929,0.666666686534882,1.83333337306976,3.83333325386047
"can",1,2,1.16666674613953,0.333333343267441,0.333333343267441,3,0.5,0,0,0,2.83333349227905,0,0.333333343267441,0,0,0.333333343267441,0,0,0.333333343267441,0.333333343267441,2.16666674613953,0.5,0,0,2.83333349227905,0.5,0,0.833333373069763,0,0,0,0.333333343267441,0,0.833333373069763,1,0,1.33333337306976,0.5,0.333333343267441,0.5,1,0,0.833333373069763,1,0.333333343267441,1,0.833333373069763,2.83333325386047,0.666666686534882,1,0.5,1.5,1,2,0,1.5,0.333333343267441,4,0.833333373069763,0,2,0.833333373069763,0.5,2.5,1.83333337306976,2.33333325386047,1,3.33333325386047,0,0.666666686534882,0,2.16666674613953,2.66666674613953,0.666666686534882,0.333333343267441,0.666666686534882,0.333333343267441,1.16666674613953,0.666666686534882,1.16666674613953,1.5,0.333333343267441,2.33333349227905,1.5,2.16666674613953,0,2.33333349227905,3.5,0,2.83333325386047,1.66666674613953,0,4.33333349227905
"know",0,1,2.33333349227905,1,0,1.83333337306976,1,0,0,0.666666686534882,0.333333343267441,0,0,1,0.333333343267441,0.833333373069763,0,1.83333337306976,1,0,0.333333343267441,0.5,0,1,1.5,0.333333343267441,0,1,0,0,0,1,0,0,0,0,1.5,0.333333343267441,2.83333349227905,1.33333337306976,0.333333343267441,0,1.33333337306976,1,0.5,0.333333343267441,0,1.5,1.16666674613953,0.333333343267441,1.16666674613953,0,1,0.333333343267441,0.333333343267441,3.16666674613953,0.333333343267441,0.5,0.5,2.5,0,0.666666686534882,2,0.333333343267441,1.83333337306976,2,0,2.5,0,1.5,0,2,0,0,4.50000047683716,2.16666674613953,4,1,0.5,0.5,0.333333343267441,0.5,2,3.16666674613953,0.5,0,0.666666686534882,1.33333337306976,2.83333349227905,2.66666674613953,2.66666674613953,1,0.5
"like",0,1.33333337306976,0.333333343267441,0.333333343267441,0,0.666666686534882,0,1,2,0.833333373069763,1,1,1,0.5,0.333333343267441,1.5,1,0,0,0,0,0,0,0.5,1.16666674613953,0,0.5,0,0,1,0.666666686534882,0,0.333333343267441,0.5,0.5,0.666666686534882,0.333333343267441,1,1.83333337306976,0.5,1.83333337306976,0,2.5,1.33333337306976,0.5,0,1,1,0,0,2,0.5,0.333333343267441,0,0,1,1.83333337306976,0.5,1.66666674613953,0.833333373069763,1,1,0.333333343267441,2.16666674613953,0,0.333333343267441,0.833333373069763,3,0,3,1,0.833333373069763,2.33333349227905,0,3,2,0.5,1,0.833333373069763,1,0.666666686534882,2.83333349227905,0.333333343267441,1.5,2,1.5,4.5,2.83333349227905,1.83333337306976,2,1,0.666666686534882,5
"nutrit",0.333333343267441,0,0,0,0,0,2.66666674613953,1.16666674613953,0,0,0.5,0.833333373069763,2,2,0,0,0,0.333333343267441,0.333333343267441,1,0,0,2,0.833333373069763,0,0.833333373069763,0,0,0,1.83333337306976,0,3.83333349227905,0.5,0.333333343267441,0,0,0.666666686534882,1,1,0,0.333333343267441,0,0.5,0.666666686534882,2.33333325386047,8.5,1.66666674613953,0.666666686534882,1,1,1.83333337306976,0,0,0.5,1.33333337306976,0.833333373069763,6.83333349227905,0,0.333333343267441,0,0.333333343267441,0.5,2,0.5,0,1.33333337306976,0.833333373069763,0.333333343267441,1.5,0.333333343267441,0.5,0,0.666666686534882,1.83333337306976,1.33333337306976,3.33333325386047,0.833333373069763,2.16666674613953,0.333333343267441,0,0,1.33333337306976,2.16666674613953,0.833333373069763,0.333333343267441,1.5,1,0,4.5,0.333333343267441,1.5,2.5,1.16666674613953
"work",1.33333337306976,0.333333343267441,0,0,2,0.5,1,0.666666686534882,0.333333343267441,1,0,0.5,0.5,0,0,0,0.333333343267441,0.333333343267441,0.833333373069763,1.16666674613953,1.5,0.833333373069763,1.5,1,0,2.83333349227905,0,0.333333343267441,5.83333349227905,1.5,0,1.33333337306976,1.16666674613953,0,0.5,0,0.333333343267441,0,1.33333337306976,0.333333343267441,0,0.666666686534882,0.5,0,1,0,1,0,0.5,0,0.333333343267441,0.5,3.5,2,0,1.5,0.5,2.83333325386047,2.33333349227905,0.833333373069763,1.16666674613953,2.33333325386047,1.33333337306976,1.66666674613953,0.666666686534882,0.333333343267441,2.66666674613953,1.33333337306976,6.6666669845581,0.5,1.33333337306976,0.333333343267441,1,3.5,0.333333343267441,0.5,1.5,0.5,6,5.16666650772095,6.00000047683716,2.16666674613953,1.33333337306976,1.66666674613953,5.66666650772095,1.83333337306976,2.5,2.83333349227905,2,3.33333349227905,0.333333343267441,3.83333325386047,1.50000011920929
